id;uid;date_vaccination;site_vaccination;type_vaccin;lot;dose;tei_id
1;Tasty Plastic Tuna cross-platform connect;2021-08-04;violet;Technician SAS;Missouri THX;SDD;1
2;back-end generating;2021-08-03;out-of-the-box Mouse Bedfordshire;Israel Estonia;monetize;Home Loan Account;2
3;copying;2021-08-04;Personal Loan Account contingency Human;Refined Rubber Ball;Sports indexing upward-trending;Frozen portals Checking Account;3
4;calculate;2021-08-04;Legacy Auto Loan Account;empowering;discrete;Factors success Prairie;4
5;Credit Card Account Mills;2021-08-04;sexy;Rustic;Borders Montana mint green;Down-sized lavender;5
6;Credit Card Account auxiliary;2021-08-04;Cotton mint green Team-oriented;Handcrafted PCI;Cuban Peso Peso Convertible Rustic;Cordoba Oro Table back up;6
7;modular virtual;2021-08-04;user-centric Investment Account;Organic uniform Steel;Sleek Steel Shoes;Bedfordshire American Samoa;7
8;Berkshire;2021-08-04;Prairie Producer;Rubber;Shoes Practical Steel Gloves;Salad maximized;8
9;Infrastructure;2021-08-04;SSL calculating Rubber;maximize;PCI Fantastic Fresh Tuna Principal;Plastic Solomon Islands Dollar orchid;9
10;Salad;2021-08-03;Awesome Steel Hat Checking Account salmon;Fantastic Concrete Chicken Analyst;New Mexico green indigo;Concrete;10
