id;authorite;signature;signature_content_type
1;Rustic Metal Fish;../fake-data/blob/hipster.png;image/png
2;Ergonomic;../fake-data/blob/hipster.png;image/png
3;user-facing;../fake-data/blob/hipster.png;image/png
4;systematic Unbranded Fresh Cheese;../fake-data/blob/hipster.png;image/png
5;leading-edge;../fake-data/blob/hipster.png;image/png
6;deposit Ferry generate;../fake-data/blob/hipster.png;image/png
7;Licensed Concrete Pizza;../fake-data/blob/hipster.png;image/png
8;Functionality digital hacking;../fake-data/blob/hipster.png;image/png
9;copying;../fake-data/blob/hipster.png;image/png
10;Rubber Internal;../fake-data/blob/hipster.png;image/png
